21000,2015,toyota,tacoma,excellent,146464
28990,2013,toyota,tundra,good,37163
30990,2017,subaru,wrx,good,20012
16590,2014,honda,civic,good,17761
35590,2018,toyota,4runner,good,21339
1000,2002,honda,accord,fair,151000
7000,2008,honda,accord,good,172788
43990,2019,toyota,tacoma,good,6653
41590,2018,toyota,tundra,good,35336
18990,2016,subaru,outback,good,114398
3500,2006,toyota,rav4,good,303000
17590,2014,toyota,rav4,good,21230
21990,2012,toyota,tacoma,good,51707
19000,2012,toyota,tundra,excellent,93000
3599,2006,honda,civic,excellent,233500
4800,2006,honda,accord,good,170164
31995,2016,toyota,tundra,good,103705
9172,2006,toyota,tundra,good,187118
28500,2015,toyota,tacoma,excellent,40500
5000,2000,toyota,tacoma,good,251000
4499,2005,honda,accord,excellent,127000
9890,2007,toyota,4runner,excellent,178559
14995,2008,toyota,tacoma,good,153817
16995,2014,honda,civic,good,100541
4300,2007,honda,civic,good,112596
6995,2007,honda,civic,good,196026
18995,2013,toyota,tacoma,good,166509
5200,2010,honda,accord,good,201000
17995,2010,toyota,tacoma,good,113695
23995,2015,toyota,tundra,good,128415
16995,2012,toyota,4runner,good,160152
39500,2019,toyota,tundra,good,38557
7950,2012,honda,civic,excellent,137325
10500,2008,toyota,4runner,good,157271
8950,2009,honda,accord,excellent,109455
9875,2012,toyota,rav4,excellent,146263
3500,2003,honda,civic,good,180000
14995,2008,toyota,tacoma,good,153817
16995,2014,honda,civic,good,100541
31995,2016,toyota,tundra,good,103705
31990,2016,toyota,4runner,good,21066
40990,2019,toyota,tundra,good,13869
28590,2018,toyota,tacoma,good,17553
28590,2017,toyota,tacoma,good,8194
27990,2013,toyota,tundra,good,70110
4200,2005,honda,accord,excellent,176144
38990,2017,toyota,tundra,good,19729
40990,2017,toyota,tundra,good,40570
13990,2011,toyota,tacoma,good,88033
14500,2015,toyota,rav4,excellent,99445
27590,2016,toyota,tacoma,good,24849
23990,2013,toyota,tacoma,good,58814
39590,2017,toyota,tundra,good,19725
36590,2019,toyota,tundra,good,13045
28990,2018,toyota,tacoma,good,17499
27590,2014,toyota,tundra,good,82764
15590,2014,honda,accord,good,100590
11590,2012,honda,civic,good,61494
26590,2019,toyota,tacoma,good,1197
39990,2017,toyota,tundra,good,29178
43990,2019,toyota,tacoma,good,6653
28990,2013,toyota,tundra,good,23490
11900,2008,toyota,tundra,good,167316
28590,2018,toyota,tacoma,good,17553
27990,2019,toyota,tacoma,good,7607
27590,2016,toyota,tacoma,good,24849
13500,2017,honda,civic,excellent,28000
22900,2015,toyota,tacoma,excellent,67000
5500,2003,toyota,tundra,good,205745
13900,2013,honda,accord,excellent,91000
7300,2007,toyota,tundra,good,232558
28990,2018,toyota,tacoma,good,12719
28990,2013,toyota,tundra,good,23490
8950,2012,honda,accord,good,42361
15500,2017,subaru,outback,excellent,75
6900,2011,subaru,outback,excellent,117
9500,2004,toyota,tacoma,good,291000
4400,2008,subaru,outback,good,212000
25000,2016,toyota,4runner,excellent,16472
14500,2007,toyota,4runner,excellent,81206
22800,2014,toyota,tacoma,excellent,41936
4400,2004,toyota,4runner,fair,259881
8950,2011,honda,civic,excellent,87126
19900,2015,subaru,forester,excellent,68437
19900,2017,subaru,forester,excellent,42260
25900,2019,subaru,forester,excellent,19550
19900,2015,subaru,wrx,excellent,63568
6900,2011,subaru,outback,excellent,117
18900,2018,subaru,forester,excellent,49400
17900,2017,toyota,rav4,excellent,41101
15500,2017,subaru,outback,excellent,75
16800,2004,toyota,tundra,excellent,62128
14000,2014,toyota,rav4,excellent,138366
28600,2014,toyota,tundra,excellent,51000
35995,2018,toyota,tacoma,excellent,38713
4400,2004,toyota,4runner,fair,259881
5500,2003,honda,accord,excellent,135095
19999,2016,honda,accord,excellent,12083
17995,2018,honda,civic,excellent,21590
22800,2014,toyota,tacoma,excellent,41936
14500,2007,toyota,4runner,excellent,81206
19900,2018,subaru,forester,excellent,22939
34995,2017,toyota,tacoma,excellent,38680
21995,2017,honda,accord,excellent,31327
5500,2003,honda,accord,excellent,135095
